Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,ExhaustionLevel,Performance.Task
"0,604583861","0,4136633294","0,3274077816","0,4184391652","0,233418023","0,2174401373","0,1705022113","0,2275598279","0,4",1
"0,5050746431","0,4284708687","0,3346841257","0,4202116487","0,2145667964","0,2153825382","0,1922787348","0,208264695","0,4",1
"0,6923817893","0,4409531371","0,3483991149","0,4195363764","0,3085825958","0,2315751787","0,1752216982","0,3684414793","0,4",1
"0,5253920529","0,4331829832","0,3370467694","0,4201847732","0,217841756","0,213522161","0,1909331271","0,2069038589","0,4",1
"0,5625057804","0,4218483838","0,3285529553","0,4178987527","0,2142637761","0,2150569236","0,1727763494","0,2109861672","0,4",1
"0,6262252734","0,4205020005","0,328675521","0,420449203","0,2169895129","0,2168879514","0,1805872191","0,2375023049","0,4",1
"0,5565883274","0,4453477883","0,3518269332","0,4187910998","0,2175651609","0,2391317338","0,1804917175","0,3953957652","0,6",1
"0,6269729864","0,4076934428","0,3231135402","0,4179946637","0,2159509913","0,2122839145","0,1763720345","0,1849763102","0,6",1
"0,521113724","0,4233591448","0,3330592661","0,4184313864","0,2207810689","0,2127372647","0,1833057402","0,1872261587","0,6",1
"0,5701254506","0,4507133047","0,3541871178","0,4189703325","0,2645394202","0,2167814741","0,1930360082","0,2132259854","0,6",1
"0,5330569603","0,4310716897","0,3383069246","0,4203433155","0,4077674503","0,2408880491","0,1786214331","0,3700350635","0,8",1
"0,4997421279","0,462006355","0,3629635198","0,418380159","0,2115575799","0,239261352","0,174687947","0,3909689141","0,8",1
"0,4929377169","0,4655487421","0,3326349143","0,4186885239","0,2240843202","0,2549219901","0,17544494","0,4679994782","0,6",1
"0,5062340914","0,4167921108","0,3123885188","0,5139211565","0,2115575799","0,2617884253","0,1863232489","0,3818409933","0,6",1
"0,5028862246","0,4017881895","0,29227435","0,4375336931","0,2125597191","0,3834312742","0,2268245032","0,4970632628","0,6",1
"0,4929377169","0,3709952238","0,2880741672","0,4164618623","0,5695812298","0,2206018005","0,4049958863","0,2354199139","0,6",1
"0,4929377169","0,4549723705","0,3407846175","0,4264485401","0,2125597191","0,2411059131","0,1889948252","0,338166562","0,6",1
